epoch,train_lossGenerator,train_lossDiscriminator,val_lossGenerator,val_lossDiscriminator,val_PSNR,val_SSIM,epoch_time_sec
1,8.055976142771396,0.6629723944727653,6.415718809363128,0.6289482826091032,22.689362127574483,0.9017871230441412,227.97485446929932
2,8.690047300210505,0.6075584436582211,9.157778600529895,0.4668673687137572,21.31166422965407,0.8564645469343631,222.1272258758545
3,8.684389979456745,0.6256736792716021,6.3621826415966805,0.9028135779094181,22.66368601279744,0.9043842598667766,222.83466362953186
4,8.652471319756186,0.6277801158411321,9.941848349080184,0.9011814824535093,21.501791829134174,0.8608263698822736,223.28394627571106
5,8.640780474608368,0.6321709195642801,9.375529581583683,0.38313116185356677,18.29690468156369,0.7786631150332434,222.79279232025146
6,11.674268939105735,0.5634483026452611,9.410152344531094,1.4677739256836133,22.52694773545291,0.8950745983615777,222.56899666786194
7,9.402526270849712,0.6063501800705065,9.020803651769645,0.6541129274145171,21.44663098630274,0.8651104739989502,223.03008365631104
8,9.112916043183105,0.6300964497366575,7.691665573135373,0.8635040570010998,22.551380348930213,0.8916405195523396,221.0237843990326
9,8.950035718210792,0.6259245257297928,9.073682138572286,0.8748504205408918,20.793010147970406,0.8276444320510897,220.934965133667
10,9.095289423182598,0.6268650348305392,8.224994063687262,0.7065738219543591,21.238900657368525,0.8624416718218856,220.04618954658508
11,8.784621302425457,0.6389318194307066,7.669327072085583,1.2322146898745252,23.026404094181164,0.9020961432713457,221.6614546775818
12,8.655980792479308,0.6396573455874272,7.161020920815837,1.1770607792504,22.722130573885224,0.8911719609203159,222.070627450943
13,8.554378862427823,0.6427539585922375,7.199913142371526,1.0240174621325735,21.53121875624875,0.854207674090182,220.73311281204224
14,12.183790272811045,0.589105245610253,8.762167878924215,0.6459054868713757,21.147750137472507,0.8643529106678665,222.55287623405457
15,9.35057106867196,0.6234352147742356,7.497787161317737,0.787316413670391,20.380108353329334,0.8416512010097981,221.9055724143982
16,9.170200444681157,0.6283857667156999,6.980396108278344,1.4622856678664267,23.02466850379924,0.9002053105003999,222.49968552589417
17,8.942987183714187,0.6358055513285483,9.990762784943012,0.35378073311119024,19.402103954209156,0.8164906081283744,222.4429008960724
18,8.902861261169866,0.6422677206709105,8.586192136572686,0.9749996289804539,21.050955433913217,0.8579030287692462,220.6583125591278
19,8.755000549510935,0.6410708171650308,8.35144924140172,0.6157686431463707,19.673340331933613,0.8320942256861128,221.38228178024292
20,8.683840996897377,0.6445968016350064,9.312535149220157,0.6996551861502699,22.48678076884623,0.8884486774520096,222.69617414474487
21,8.573403565057868,0.6434417719191458,12.24905800089982,0.39918422565486905,20.07961220255949,0.8274292407143571,222.37672805786133
22,8.531674550035085,0.6442914003652134,8.79215875574885,0.7962555926314737,22.15890571885623,0.8769466809763048,221.86935353279114
23,8.362644457970868,0.6472843856467744,8.453235915316936,0.5499942980153969,21.007540679364126,0.8324666121463208,222.64229941368103
24,8.398022394684116,0.6454937857710484,9.933885097980404,0.4961254331165017,21.048048202859427,0.8368671968731254,222.6394715309143
25,8.257807282287995,0.6472705157794179,8.129688124875026,1.1459444439237152,21.866504824035193,0.8719463138622275,221.88454604148865
26,8.186850097643866,0.6461427634693584,10.86762178814237,0.460568530825085,17.522392396520697,0.7754737626693411,222.16038393974304
27,9.799309095674081,0.5843991996161877,8.50922549865027,1.218602666185513,21.58195548390322,0.8739079332570986,221.38089156150818
28,8.605014181609137,0.6299438151487484,10.433321929364126,0.46106208445810837,18.6531599930014,0.7938995208770746,222.42776203155518
29,8.43748467709892,0.6423346923161464,7.820065674365127,0.83830353070011,21.71800327434513,0.8827809633385822,221.22618675231934
30,8.172708116699214,0.6457253465089148,9.219734178164368,0.7051470565261948,20.99621325734853,0.8506062459383124,223.29689168930054
31,8.253852388681766,0.6432042669524124,7.617564768296341,0.8361066068036392,20.526001049790043,0.8402043224167667,221.7859480381012
32,8.060071584366836,0.6493537698563663,8.072110577884423,0.48978085242326536,21.370638372325534,0.8612087152881923,222.89966440200806
33,7.993311817866714,0.6501926326434858,7.681137991151769,0.6357985238889722,21.96491951609678,0.8820129528781744,223.12529063224792
34,8.070988887198085,0.6427105657215079,9.275369926014797,0.5843282515371926,21.200395858328335,0.8478660713169867,220.58600544929504
35,7.94532577544447,0.6489219546526668,8.39389153419316,0.9072145531831134,21.714382123575284,0.8632479558775745,222.08911776542664
36,7.8807656378131155,0.6509227820893251,7.85605925689862,0.7633194064312138,21.998075384923016,0.8510825178714257,221.3519024848938
37,7.8432467219559205,0.6488453401472689,8.394735115476905,0.5122526275994801,21.008004649070187,0.8594056579309138,222.7960193157196
38,7.8989412403729915,0.6498456878186106,7.419457514747051,1.0403046343856228,22.72611727654469,0.8925613314837033,221.63435125350952
39,7.789306939900412,0.6483978057605654,8.048027894421116,0.7460132485221705,22.3641724780044,0.8790005670740851,222.67166876792908
40,7.7311655126937024,0.6508459033959776,8.982022345530893,0.5019107994807288,21.567003786742653,0.8582849836282743,220.79666256904602
41,7.671804593911419,0.6523568603270012,7.60787373775245,0.9089254414742052,22.231628674265146,0.8584177695710857,219.93794083595276
42,7.645568088631887,0.6512333350241362,7.332488189862028,0.7932848000712358,21.86059350629874,0.8701596594743551,219.78816843032837
43,7.588623432837083,0.6532021296718997,8.107319161167766,0.8083835381361227,21.786786392721456,0.8721336787330034,221.81099915504456
44,7.574883545951796,0.6519094580342726,9.669505942561488,0.49845143276032294,21.17041904119176,0.8348074525719856,222.33683371543884
45,7.55318103426412,0.6516597343748679,8.72605947560488,0.6860958862914917,20.75496150769846,0.861769931170016,221.73001861572266
46,7.554028549206591,0.6563599021870535,7.176191324235153,0.9188727684150669,22.91880530143971,0.8986662628411818,221.53798055648804
47,7.433926593793062,0.6546069490941524,8.966605897570487,0.517522276794641,19.515154781543693,0.8190933102442012,221.816547870636
48,7.49505545833439,0.6519609746844539,10.024979379124176,0.5088596538504799,20.81502605728854,0.8274252376087282,221.9406816959381
49,7.508624151428306,0.6532259726343554,8.206518852479505,0.7188045789279645,20.925111852629474,0.8479361744838533,219.93759965896606
50,7.445269239223245,0.6590052821738652,6.096011266496701,1.283842450259948,22.707844368626276,0.8936661886372725,221.23384046554565
51,7.345468542612459,0.6566045402284275,6.926230378924215,0.7319323244726055,22.533233978204358,0.8743735627874425,219.1955361366272
52,7.2998337729420815,0.656619863129507,8.402508560787842,0.5311538766465457,20.967961095280945,0.8352714222780444,221.68069982528687
53,7.351481988722345,0.6524837365898197,10.56504949010198,0.42288334325322435,20.697376149770047,0.8300983358015896,221.23977851867676
54,7.392055974029268,0.6557341730283125,7.256661948860228,0.7362174049565087,21.57289948260348,0.8658186331483704,221.15108942985535
55,7.249893796444241,0.65559719157642,9.062938974705059,0.6368185835489152,21.91512322535493,0.8681724592581483,221.3633210659027
56,7.192303465300498,0.6597905148072062,7.095919878524295,0.7329115719824785,22.082000787342533,0.8786380419228654,221.8388969898224
57,7.173039936763972,0.6565637892371943,11.095233297090582,0.45706342130011496,19.565680613877223,0.8064835763316087,220.38490056991577
58,7.1799986473576975,0.6591912044434299,7.822034030693861,0.8132225605660118,22.16139897020596,0.8622586029669066,222.34224700927734
59,7.131903759500199,0.6546319809023815,11.41163798490302,0.5091282036561438,20.599692561487704,0.8458278070948311,221.96485233306885
60,7.17560784363455,0.6567318788201577,6.23958099005199,1.101273397664217,22.718684388122377,0.8878788695385923,221.29792714118958
61,7.04192662760912,0.6627315871566614,6.617616320485903,1.008458952740702,21.589344631073786,0.8553781431213757,219.4365258216858
62,7.097928132423681,0.6561373238394752,7.846736902619476,0.5370637786505199,22.2626099780044,0.877732461320236,220.07840085029602
63,7.018170847176782,0.6566071160609366,10.051891184263148,0.6316846005798841,19.299051127274545,0.8076338833795741,219.93715572357178
64,8.996214715057445,0.5970401306779274,8.632765634373126,0.6671180412355029,22.232583170865826,0.8757615664367127,221.4909462928772
65,7.627141507519846,0.6378047936375087,8.652524182663468,0.5925661059194411,22.10174527594481,0.8665227891921615,221.53209853172302
66,7.215369715184255,0.6515349716156467,7.36707424140172,0.6563028214669566,22.428986077784444,0.879374418085133,220.33304452896118
67,7.058853149543061,0.6518862094947036,7.3169444236152765,1.046865626874625,20.98490926814637,0.8402812601542191,219.57688117027283
68,7.064362525045017,0.659105277312807,8.320852235802839,0.7043259316886623,22.083191174265146,0.875002831464957,221.22431421279907
69,6.979934396848344,0.6524718481320855,8.195213301089781,0.5336351186793892,20.574719431113778,0.8261591822260548,221.6384243965149
70,6.944742976827547,0.6590445801313753,7.893218231353729,0.8430740609690562,22.58162430013997,0.8808095802714457,221.5626926422119
71,6.883600902888737,0.6601546978957958,8.533874475104978,0.5345775083264597,22.072910417916418,0.8711734215656869,220.76165986061096
72,6.860114594165039,0.6592731027078208,8.272326784643072,0.4418928714257149,21.05434225654869,0.8469819707933414,221.13686800003052
73,6.860840054274773,0.6573659298993126,7.620690705608879,0.9645156906118776,22.35386047790442,0.8785786787954909,223.27450156211853
74,6.823270942707144,0.6608267920397001,7.030322060587882,0.7354336261653919,21.025869826034793,0.8552133323335332,222.8919758796692
75,6.830451571178574,0.6601255711743471,6.483750906068786,0.754598299090182,23.04740926814637,0.8954224780043991,223.4819095134735
76,6.737123479334162,0.6582915123809041,8.945260166716656,0.3817826278494301,19.330427664467106,0.8095218358672016,222.49440336227417
77,6.848518856679094,0.6642930700330552,10.048287217556489,0.693484350004999,20.070170340931814,0.8278507384460608,222.00701260566711
78,6.923639115033774,0.6572805971915764,8.050175902319536,0.5523459272989152,21.86209320635873,0.8694701489389622,221.4663646221161
79,6.825137166383457,0.6594904633433936,8.573530606378725,0.7475994547184314,21.883429564087184,0.855908017615227,223.73810362815857
80,6.734472089071495,0.6602680345261948,6.412422984153169,0.9418633851354729,23.30435475404919,0.8919221038604779,222.17663407325745
81,6.688068004091743,0.6583121190409766,6.3006656481203756,0.8848824961570186,22.723217856428715,0.8834611983853229,224.47455883026123
